ing,Energy,Water,Total_lipid,Protein,Carbohydrate,Sugars,Fiber,Calcium,Iron,Sodium,Potassium,Zinc,Vitamin_A_RAE,Vitamin_D,Vitamin_E_alpha_tocopherol,Vitamin_C_total_ascorbic_acid,Thiamin,Niacin,Riboflavin,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fatty_acids_total_polyunsaturated
WATER,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CORN MEAL, WHOLE-GRAIN",0.0,0.0,76.89,3.59,1.13,0.0,6.0,3.45,127.0,1.82,35.0,0.19,49.0,0.0,0.0,0.39,0.2,0.43,3.63,0.0,0.95,0.51,0.36
"WHEAT FLOUR, ENRICHED",365.93,12.09,1.94,10.75,74.31,0.6,2.44,71.07,5.2,135.29,121.64,0.88,0.0,0.0,0.25,0.0,0.76,6.1,0.46,0.0,0.5,0.0,0.68
ARTIFICIAL COLOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"OIL, PALM",884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,15.94,0.0,0.0,0.0,0.0,0.0,49.3,0.0,9.3
CORN FLOUR,364.29,10.26,3.61,7.65,77.16,1.03,6.3,62.14,3.7,4.43,269.57,1.64,5.5,0.0,0.25,0.0,0.56,4.36,0.31,0.0,0.48,0.0,1.56
TORULA YEAST,325.0,5.08,7.61,40.44,41.22,0.0,26.9,30.0,2.17,51.0,955.0,7.94,0.0,0.0,0.0,0.3,10.99,40.2,4.0,0.0,1.0,0.0,0.02
CORN SYRUP,283.33,22.94,0.07,0.0,76.79,76.67,0.0,10.33,0.13,73.0,15.0,0.17,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0
WHEAT FLOUR,357.0,12.16,1.57,11.46,74.02,0.73,4.81,22.88,1.85,2.13,191.25,1.48,0.0,0.0,0.19,0.0,0.24,2.19,0.09,0.0,0.3,0.0,0.79
ENRICHED FLOUR,365.56,11.8,2.16,10.46,74.59,0.67,3.01,79.44,5.61,119.0,139.19,0.99,0.73,0.0,0.24,0.0,0.85,6.58,0.5,0.0,0.51,0.0,0.81
SODIUM DIACETATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALIC ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
