Rank,Snack_Top200_Ing,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
28,CHEDDAR CHEESE,298.57142857142856,47.09142857142857,24.572857142857146,20.165714285714284,4.548571428571428,1.3942857142857144,0.0,679.2857142857143,0.2699999999999999,100.14285714285714,737.7142857142857,3.0200000000000005,176.57142857142858,656.8571428571429,16.0,0.3771428571428571,0.0,0.0245714285714285,0.358,0.0801428571428571,64.14285714285714,0.7072499999999999,12.105285714285714,5.478714285714285,0.7642857142857142
29,PAPRIKA,359.0,10.0,15.0,13.0,35.0,0.0,20.9,177.0,23.6,2344.0,34.0,0.0,0.0,0.0,0.0,0.0,71.0,0.64,1.74,15.3,0.0,0.0,1.7,0.0,6.6
30,WATER,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"CORN MEAL, WHOLE-GRAIN",362.0,10.26,8.12,3.59,76.89,0.64,7.3,6.0,3.45,287.0,35.0,1.82,5.5,108.5,0.0,0.42,0.0,0.385,0.201,3.632,0.0,0.0,0.505,0.948,1.638
32,"WHEAT FLOUR, ENRICHED",365.9285714285714,12.085714285714284,10.745,1.9385714285714288,74.30785714285715,0.5966666666666667,2.441666666666666,71.07142857142857,5.199285714285715,121.64285714285714,135.28571428571428,0.8749999999999999,0.0,0.2857142857142857,0.0,0.2478571428571427,0.0,0.7585714285714287,0.4604285714285714,6.098500000000001,0.0,0.0,0.5022142857142856,0.446,0.6758571428571427
34,"OIL, PALM",884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,15.94,0.0,0.0,0.0,0.0,0.0,0.0,49.3,37.0,9.3
35,CORN FLOUR,364.2857142857143,10.261428571428567,7.654285714285714,3.61,77.15857142857143,1.028,6.299999999999999,62.142857142857146,3.697142857142857,269.57142857142856,4.428571428571429,1.6385714285714286,5.5,109.16666666666669,0.0,0.246,0.0,0.557,0.3078571428571429,4.364857142857143,0.0,0.0,0.4755,0.8835000000000001,1.5641666666666667
36,TORULA YEAST,325.0,5.08,40.44,7.61,41.22,0.0,26.9,30.0,2.17,955.0,51.0,7.94,0.0,0.0,0.0,0.0,0.3,10.99,4.0,40.2,0.0,0.0,1.001,4.309,0.017
37,CORN SYRUP,283.3333333333333,22.94,0.0,0.0666666666666666,76.79333333333334,76.67,0.0,10.333333333333334,0.1333333333333333,15.0,73.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0233333333333333,0.0093333333333333,0.0066666666666666,0.0,0.0,0.0,0.0,0.0
38,WHEAT FLOUR,357.0,12.16125,11.45625,1.5725,74.02375,0.7337500000000001,4.812499999999999,22.875,1.8475,191.25,2.125,1.4775,0.0,2.25,0.0,0.19375,0.0,0.2361249999999999,0.094125,2.193,0.0,0.0,0.29825,0.179625,0.79225
