Rank,ing,case,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
148,APPLE JUICE CONCENTRATE,,166.0,57.0,0.51,0.37,41.0,38.83,0.2,20.0,0.91,448.0,25.0,0.13,0.0,0.0,0.0,0.02,45.5,0.011,0.054,0.135,0.0,0.0,0.06,0.015,0.108
151,sunflower oil and safflower oil,,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,37.59,0.0,0.0,0.0,0.0,0.0,0.1575,8.275,66.2775,20.891
152,tapioca malt syrup,,318.0,21.1,6.2,0.0,71.3,71.3,0.0,61.0,0.96,320.0,35.0,0.14,0.0,0.0,0.0,0.0,0.0,0.011,0.393,8.12,0.0,0.0,0.0,0.0,0.0
154,lime,,30.0,88.26,0.7,0.2,10.54,1.69,2.8,33.0,0.6,102.0,2.0,0.11,2.0,50.0,0.0,0.22,29.1,0.03,0.02,0.2,0.0,0.0,0.022,0.019,0.055
156,WHEAT GLUTEN,,370.0,8.2,75.16,1.85,13.79,0.0,0.6,142.0,5.2,100.0,29.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.156,0.81
157,TOMATO PASTE,,82.0,73.5,4.32,0.47,18.91,12.18,4.1,36.0,2.98,1014.0,59.0,0.63,76.0,1525.0,0.0,4.3,21.9,0.06,0.153,3.076,0.0,0.0,0.1,0.067,0.16
159,"MOLASSES, DRIED",,334.0586202483041,0.0,0.0,0.115192627671829,86.08345065915782,86.07193139639064,0.0,236.14488672724943,5.437092026110329,1686.4200691155766,42.621272238576736,0.3340586202483041,0.0,0.0,0.0,0.0,0.0,0.0472289773454498,0.0023038525534365,1.0712914373480098,0.0,0.0,0.0207346729809292,0.0368616408549852,0.0575963138359145
162,"BARLEY FLOUR, MALTED",,361.0,8.21,10.28,1.84,78.3,0.8,7.1,37.0,4.71,224.0,11.0,2.06,1.0,19.0,0.0,0.57,0.6,0.309,0.308,5.636,0.0,0.0,0.386,0.254,0.953
163,"MILK, NONFAT, CULTURED",,34.0,90.84,3.37,0.08,4.96,5.09,0.0,122.0,0.03,156.0,42.0,0.42,2.0,15.0,0.0,0.01,0.0,0.045,0.182,0.094,2.0,0.0,0.051,0.021,0.003
167,COCOA POWDER,,224.0,2.85,18.85,13.4,58.1,1.755,33.4,119.5,14.69,2016.5,20.0,6.59,0.0,0.0,0.0,0.1,0.0,0.094,0.3505,2.2925,0.0,0.0,7.915,4.48,0.43
171,"OIL, OLIVE, EXTRA VIRGIN",,884.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.56,1.0,2.0,0.0,0.0,0.0,0.0,14.35,0.0,0.0,0.0,0.0,0.0,0.0,13.808,72.961,10.523
172,GREEN BEAN,,35.0,90.125,1.81,0.215,7.255,2.735,2.6500000000000004,39.5,0.94,198.5,4.5,0.25,31.0,618.5,0.0,0.415,12.55,0.09,0.0975,0.615,0.0,0.0,0.0485,0.009,0.1105
173,Rye flour,,343.6666666666667,11.04,12.203333333333331,1.6900000000000002,73.58,1.4466666666666663,14.533333333333331,24.666666666666668,2.806666666666666,438.3333333333333,2.0,2.8466666666666662,0.3333333333333333,3.6666666666666665,0.0,1.663333333333333,0.0,0.3113333333333333,0.1516666666666666,2.2656666666666667,0.0,0.0,0.1996666666666666,0.2103333333333333,0.775
175,peanut oil or a blend of peanut oil,,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,15.69,0.0,0.0,0.0,0.0,0.0,0.0,16.9,46.2,32.0
177,CASHEW NUT,,569.0,3.4599999999999995,16.79,45.99,30.916666666666668,5.31,3.2,41.66666666666666,6.243333333333333,619.0,13.666666666666666,5.576666666666667,0.0,0.0,0.0,0.9133333333333334,0.2666666666666666,0.3286666666666666,0.1586666666666666,1.3993333333333335,0.0,0.0,8.472666666666667,25.679,8.075666666666665
178,TOMATO,,18.0,94.39499999999998,1.0550000000000002,0.2125,3.7875,1.6575,0.975,9.75,0.435,227.75,20.75,0.165,37.25,742.75,0.0,0.23,15.525,0.046,0.035,0.7164999999999999,0.0,0.0,0.0292499999999999,0.03225,0.087
182,"OIL, PEANUT",,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,15.69,0.0,0.0,0.0,0.0,0.0,0.0,16.9,46.2,32.0
183,organic tomato powder,,302.0,3.06,12.91,0.44,74.68,43.9,16.5,166.0,4.56,1927.0,134.0,1.71,862.0,17247.0,0.0,12.25,116.7,0.913,0.761,9.133,0.0,0.0,0.062,0.066,0.179
184,CASSAVA,,160.0,59.68,1.36,0.28,38.06,1.7,1.8,16.0,0.27,271.0,14.0,0.34,1.0,13.0,0.0,0.19,20.6,0.087,0.048,0.854,0.0,0.0,0.074,0.075,0.048
187,BUTTERMILK SOLIDS,,387.0,2.97,34.3,5.78,49.0,49.0,0.0,1184.0,0.3,1592.0,517.0,4.02,49.0,175.0,20.0,0.1,5.7,0.392,1.579,0.876,69.0,0.0,3.598,1.669,0.215
188,peanut oil or a blend of peanut oil and canola,,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0225,0.0,0.0,0.0075,0.0,0.0,0.0,16.1325,0.0,0.0,0.0,0.0,0.0,0.44275,14.6145,49.93750000000001,30.59925
190,Taro,,112.0,70.64,1.5,0.2,26.46,0.4,4.1,43.0,0.55,591.0,11.0,0.23,4.0,76.0,0.0,2.38,4.5,0.095,0.025,0.6,0.0,0.0,0.041,0.016,0.083
193,organic sunflower and organic safflower oil,,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,37.59,0.0,0.0,0.0,0.0,0.0,0.1575,8.275,66.2775,20.891
195,"OIL, SAFFLOWER",,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.096,7.541,75.221,12.82
196,organic cheddar cheese,,320.0,43.615,26.6525,21.885,4.105,0.2525,0.0,768.75,0.105,70.25,731.25,3.41,199.5,741.25,20.75,0.5075000000000001,0.0,0.02225,0.37,0.0735,73.0,0.7072499999999999,12.70925,5.7445,0.93675
197,unbleached enriched wheat flour,,364.3333333333333,12.203333333333331,10.513333333333334,1.3033333333333337,75.44666666666667,0.6266666666666667,2.5,18.33333333333333,4.919999999999999,131.33333333333334,2.0,0.8533333333333334,0.0,0.6666666666666666,0.0,0.33,0.0,0.7523333333333332,0.4613333333333334,5.9366666666666665,0.0,0.0,0.2416666666666666,0.1486666666666667,0.669
198,organic sunflower oil and organic safflower oil,,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,37.59,0.0,0.0,0.0,0.0,0.0,0.1575,8.275,66.2775,20.891
66,BUTTER,1(with salt),717.3333333333334,16.843333333333334,0.73,80.17333333333333,0.9966666666666668,0.06,0.0,23.666666666666668,0.03,29.666666666666668,412.3333333333333,0.0766666666666666,683.6666666666666,2488.6666666666665,0.0,2.0033333333333334,0.0,0.0056666666666666,0.044,0.0353333333333333,218.33333333333331,1.9823333333333333,49.08233333333334,21.441666666666663,3.128
66,BUTTER,2(without salt),717.0,17.94,0.85,81.11,0.06,0.06,0.0,24.0,0.02,24.0,11.0,0.09,684.0,2499.0,0.0,2.32,0.0,0.005,0.034,0.042,215.0,0.0,50.489,23.43,3.01
68,"MILK, NONFAT, DRIED",1(with vitamin A & D),360.0,3.56,35.629999999999995,0.745,52.085,52.085,0.0,1244.0,0.315,1749.5,542.0,4.245,681.0,2272.0,440.0,0.005,6.199999999999999,0.414,1.647,0.921,19.0,0.0,0.483,0.1935,0.0289999999999999
68,"MILK, NONFAT, DRIED",2(without vitamin A & D),360.0,3.56,35.629999999999995,0.745,52.085,52.085,0.0,1244.0,0.315,1749.5,542.0,4.245,5.0,18.5,0.0,0.005,6.199999999999999,0.414,1.647,0.921,19.0,0.0,0.4845,0.1955,0.03
