fdc_id,brand_owner,market_country,branded_food_category,brand_name,ingredients,serving_size,serving_size_unit,description,publication_date,Calcium(mg),Carbohydrate(g),Cholesterol(mg),Energy(kcal),Saturated fatty acids(g),Trans fatty acids(g),Fiber(g),Iron(mg),"Potassium, K",Protein(g),Sodium(mg),Total sugar(g),Total fat(g),Vitamin A,"Vitamin A, IU","Vitamin A, RAE","Vitamin C, total ascorbic acid",umap_2,umap_5,umap_10,umap_20
2113156,"Giant Eagle, Inc.",United States,"Chips, Pretzels & Snacks",NATURE'S BASKET,"ORGANIC PASTRY FLOUR, ORGANIC OAT BRAN, ORGANIC SUGAR, ORGANIC SUNFLOWER OIL, SALT, YEAST, SODA.",28.0,g,"ORGANIC PRETZEL STICKS, OAT BRAN",2021-10-28,36.0,71.43,0.0,357.0,0.71,0.0,3.6,1.79,179.0,10.71,750.0,3.57,5.36,,,,,"[15.631654739379883, -0.8670522570610046]","[6.401961326599121, 7.275410175323486, 2.5942413806915283, 4.443541049957275, -5.986483573913574]","[1.7372194528579712, 7.411072254180908, 5.28473424911499, -1.7471641302108765, 6.224135398864746, 3.17617130279541, 5.2449846267700195, 4.892879486083984, -0.8757086396217346, 7.085628032684326]","[9.029212951660156, 4.665705680847168, 4.403088569641113, 4.711074352264404, 5.0372090339660645, 4.916744232177734, 5.141511917114258, 4.609373092651367, 6.083523750305176, 4.247655868530273, 5.107377529144287, 3.7862327098846436, -4.269700050354004, 5.301918983459473, 4.928819179534912, 4.666262626647949, 5.070553302764893, 4.55268669128418, 4.816688060760498, 5.278590202331543]"
2113155,"Giant Eagle, Inc.",United States,"Chips, Pretzels & Snacks",NATURE'S BASKET,"ORGANIC PASTRY FLOUR, ORGANIC WHOLE WHEAT FLOUR, ORGANIC SUGAR, ORGANIC HONEY, ORGANIC SUNFLOWER OIL, SALT, YEAST, SODA.",28.0,g,"ORGANIC PRETZEL STICKS, HONEY WHEAT",2021-10-28,36.0,75.0,0.0,357.0,0.71,0.0,3.6,1.43,179.0,7.14,464.0,10.71,3.57,,,,,"[15.630637168884277, -0.8600258231163025]","[6.401922702789307, 7.275452136993408, 2.5941648483276367, 4.4435319900512695, -5.98665189743042]","[1.7372171878814697, 7.411083698272705, 5.284751892089844, -1.7471928596496582, 6.224173545837402, 3.1761507987976074, 5.24498176574707, 4.892860412597656, -0.8757269978523254, 7.085639953613281]","[9.029362678527832, 4.665855884552002, 4.403201103210449, 4.711258411407471, 5.037188529968262, 4.916802406311035, 5.141651630401611, 4.609814643859863, 6.083436489105225, 4.247570037841797, 5.10750675201416, 3.786414861679077, -4.267604351043701, 5.301820278167725, 4.928907871246338, 4.666010856628418, 5.0704450607299805, 4.552457809448242, 4.816629409790039, 5.278754711151123]"
2679275,Raley's,United States,"Chips, Pretzels & Snacks",RALEY'S,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, LESS THAN 2% OF: CANOLA OIL AND/OR SOYBEAN OIL, CORN SYRUP, BARLEY MALT EXTRACT, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE).",30.0,GRM,MINI TWIST PRETZELS,2023-11-16,0.0,83.33,0.0,400.0,0.0,0.0,3.3,4.8,,10.0,1067.0,3.33,3.33,0.0,,,0.0,"[-9.284737586975098, 9.275076866149902]","[7.420587539672852, 6.508957862854004, 6.4403252601623535, 9.16993522644043, 9.51821231842041]","[3.6753859519958496, 7.217790603637695, 6.874571323394775, 3.162680149078369, 3.5385499000549316, 6.359609603881836, 3.931291341781616, 7.310064792633057, 3.9496498107910156, 11.175201416015625]","[11.144767761230469, 5.67396354675293, 5.797699928283691, 6.057422161102295, 4.651871681213379, 4.282177448272705, 4.564556121826172, 5.434443473815918, 6.209181785583496, 3.72544527053833, 5.170153617858887, 4.380314826965332, 5.667810916900635, 5.230613708496094, 4.201924800872803, 3.606494188308716, 3.824497938156128, -0.005774206947535276, 8.83691120147705, 10.808000564575195]"
2110437,Raley's,United States,"Chips, Pretzels & Snacks",RALEY'S,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, LESS THAN 2% OF: CORN SYRUP, CANOLA OIL AND/OR SOYBEAN OIL, BARLEY MALT EXTRACT, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE).",30.0,g,PRETZEL STICKS,2021-10-28,0.0,80.0,0.0,400.0,0.0,0.0,3.3,4.8,,10.0,1067.0,3.33,3.33,,0.0,,0.0,"[-8.72653579711914, 9.247162818908691]","[7.096537113189697, 6.864823818206787, 5.880887508392334, 8.838293075561523, 9.21313762664795]","[4.393448829650879, 7.544808387756348, 6.556797027587891, 3.446284294128418, 3.5911827087402344, 6.506275177001953, 4.0694732666015625, 7.552995681762695, 4.381732940673828, 10.20497989654541]","[10.766349792480469, 5.538177490234375, 5.584407806396484, 5.851405620574951, 4.734692573547363, 4.533327579498291, 4.899760723114014, 5.782392501831055, 6.129554271697998, 3.5678296089172363, 5.578083038330078, 4.807440757751465, 5.082929611206055, 5.090088844299316, 4.499311447143555, 3.530457019805908, 3.9797394275665283, 0.6813033223152161, 8.11424446105957, 9.780965805053711]"
2110433,Raley's,United States,"Chips, Pretzels & Snacks",RALEY'S,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, LESS THAN 2% OF: CANOLA OIL AND/OR SOYBEAN OIL, CORN SYRUP, BARLEY MALT EXTRACT, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE).",30.0,g,THIN TWIST PRETZELS,2021-10-28,0.0,80.0,0.0,367.0,0.0,0.0,3.3,4.8,,10.0,1400.0,3.33,1.67,,0.0,,0.0,"[-9.288156509399414, 9.275545120239258]","[7.424259662628174, 6.505521297454834, 6.445422172546387, 9.17136001586914, 9.516899108886719]","[3.670295238494873, 7.214723110198975, 6.87541389465332, 3.1645262241363525, 3.538579225540161, 6.357097625732422, 3.9329886436462402, 7.307009220123291, 3.950165033340454, 11.18124771118164]","[11.161165237426758, 5.677039623260498, 5.814194202423096, 6.063036918640137, 4.6444501876831055, 4.269948959350586, 4.5708394050598145, 5.4167938232421875, 6.223520755767822, 3.728764057159424, 5.152794361114502, 4.363766670227051, 5.685567378997803, 5.23573637008667, 4.194779872894287, 3.6027801036834717, 3.8286776542663574, -0.01664477027952671, 8.842987060546875, 10.821828842163086]"
2110411,Raley's,United States,"Chips, Pretzels & Snacks",RALEY'S,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), HONEY, WHOLE WHEAT FLOUR, SUGAR, LESS THAN 2% OF: SALT, CANOLA OIL AND/OR SOYBEAN OIL, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE), MALTED BARLEY FLOUR, L-CYSTEINE.",30.0,g,"BRAIDED PRETZELS, HONEY WHEAT",2021-10-28,0.0,83.33,0.0,400.0,0.0,0.0,3.3,3.6,,6.67,600.0,13.33,3.33,,0.0,,0.0,"[-4.183906555175781, 16.30636978149414]","[12.010092735290527, 4.3782196044921875, 9.069110870361328, 4.10140323638916, 6.056445598602295]","[5.126226902008057, 8.75440788269043, 6.02296257019043, 3.4216833114624023, 3.43527889251709, 7.135745525360107, 3.654171943664551, 7.710812091827393, 4.768321514129639, 9.511696815490723]","[10.032427787780762, 5.291867256164551, 5.445306301116943, 5.383326053619385, 4.89011287689209, 4.767270088195801, 5.097386837005615, 6.05342435836792, 6.3005266189575195, 3.6173486709594727, 6.088912487030029, 4.199291706085205, 3.475878953933716, 5.3492841720581055, 5.254108428955078, 3.610511064529419, 4.500487804412842, 1.2691543102264404, 7.934110641479492, 9.217977523803711]"
2110408,Raley's,United States,"Chips, Pretzels & Snacks",RALEY'S,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PEANUT BUTTER (ROASTED PEANUTS, SUGAR, MONO- AND DIGLYCERIDES, SALT), SALT, LESS THAN 2% OF: CANOLA OIL AND/OR SOYBEAN OIL, CORN SYRUP, BARLEY MALT EXTRACT, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE).",30.0,g,"PRETZEL NUGGETS, PEANUT BUTTER",2021-10-28,0.0,50.0,0.0,500.0,5.0,0.0,6.7,2.4,,16.67,1100.0,6.67,23.33,,0.0,,0.0,"[-0.5379530787467957, -6.0138397216796875]","[-0.2190054953098297, 3.8035500049591064, -1.191827416419983, 2.216803550720215, 6.128804683685303]","[4.876193046569824, 7.2746262550354, 4.859764099121094, 2.2023253440856934, 5.331883907318115, 5.266268253326416, 3.0577332973480225, 10.940314292907715, 4.335978031158447, 8.488929748535156]","[11.216999053955078, 5.670509338378906, 4.688249588012695, 4.078207015991211, 5.3608479499816895, 4.436943531036377, 4.5654683113098145, 8.434235572814941, 6.288610458374023, 3.335289239883423, 5.8449296951293945, 5.134704113006592, 4.26497220993042, 3.906196117401123, 4.802082538604736, 4.912807941436768, 4.471774578094482, 1.4538309574127197, 7.612244606018066, 10.740826606750488]"
2679265,Raley's,United States,"Chips, Pretzels & Snacks",RALEY'S,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), LESS THAN 2% OF: CANOLA OIL AND/OR SOYBEAN OIL, SALT, CORN SYRUP, BARLEY MALT EXTRACT, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE).",36.0,GRM,PRETZEL RODS,2023-11-16,0.0,80.56,0.0,389.0,0.0,0.0,2.8,4.0,,8.33,750.0,2.78,2.78,0.0,,,0.0,"[-9.32130241394043, 9.277271270751953]","[7.422341823577881, 6.486260890960693, 6.419877052307129, 9.188742637634277, 9.486467361450195]","[3.6911046504974365, 7.2355637550354, 6.891123294830322, 3.157046318054199, 3.5157008171081543, 6.369202136993408, 3.946629285812378, 7.322751045227051, 3.9361062049865723, 11.177501678466797]","[11.20500659942627, 5.692267417907715, 5.853751182556152, 6.085188865661621, 4.616072654724121, 4.22994327545166, 4.566047668457031, 5.4124436378479, 6.260931491851807, 3.753450870513916, 5.115978240966797, 4.333210468292236, 5.728362560272217, 5.25953483581543, 4.164089679718018, 3.585728406906128, 3.840409994125366, -0.036273419857025146, 8.864416122436523, 10.867753028869629]"
2679380,Raley's,United States,"Chips, Pretzels & Snacks",RALEY'S,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, LESS THAN 2% OF: CANOLA OIL AND/OR SOYBEAN OIL, CORN SYRUP, BARLEY MALT EXTRACT, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE).",30.0,GRM,MINI TWIST PRETZELS,2023-11-16,0.0,83.33,0.0,400.0,0.0,0.0,3.3,4.8,,10.0,1067.0,3.33,3.33,0.0,,,0.0,"[-9.287076950073242, 9.275309562683105]","[7.420868873596191, 6.5077972412109375, 6.441718578338623, 9.16991138458252, 9.51729679107666]","[3.674663782119751, 7.217133522033691, 6.874180316925049, 3.1631674766540527, 3.539088010787964, 6.359079837799072, 3.9309000968933105, 7.309265613555908, 3.9499192237854004, 11.175392150878906]","[11.154311180114746, 5.674816608428955, 5.807615280151367, 6.060487270355225, 4.649497985839844, 4.277252674102783, 4.570810317993164, 5.417595863342285, 6.216983795166016, 3.7253823280334473, 5.15887451171875, 4.37016487121582, 5.678423881530762, 5.232824802398682, 4.199416637420654, 3.604732036590576, 3.8275856971740723, -0.013998955488204956, 8.83944034576416, 10.815252304077148]"
2481504,"Associated Wholesale Grocers, Inc.",United States,"Chips, Pretzels & Snacks",BEST CHOICE,"ENRICHED WHEAT FLOUR (WHEAT STARCH, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, SILICON DIOXIDE [ANTICAKING AGENT]), VEGETABLE OIL (MAY CONTAIN ONE OR MORE OF THE FOLLOWING: CORN, CANOLA, COTTONSEED, SOYBEAN), SALT, ARTIFICIAL BUTTER FLAVOR, CORN SYRUP, YEAST, MALTODEXTRIN, DEXTROSE, DEHYDRATED JALAPENO PEPPER, ONION POWDER, MONOSODIUM GLUTAMATE, TORULA YEAST, GARLIC POWDER, MODIFIED CORNSTARCH, NATURAL GREEN BELL PEPPER FLAVOR, EXTRACTIVES OF PAPRIKA AND SPICES, WITH NOT MORE THAN 2% SILICA GEL TO PREVENT CAKING.",28.0,g,"JALAPENO FLAVORED PRETZEL TWISTS, JALAPENO",2023-02-16,29.0,67.86,0.0,464.0,2.5,0.11,3.6,3.93,143.0,7.14,1607.0,3.57,16.07,,,,,"[5.913830280303955, 12.765857696533203]","[5.640839099884033, 7.157003879547119, 3.463308811187744, 8.174656867980957, 6.896575450897217]","[5.150583267211914, 7.574616432189941, 5.731590270996094, 3.419508457183838, 3.939547061920166, 6.580328464508057, 3.802464723587036, 7.849146366119385, 4.614686012268066, 9.07052993774414]","[10.335519790649414, 5.400590896606445, 5.4419660568237305, 5.468552112579346, 4.8746490478515625, 4.8342485427856445, 5.079805374145508, 6.238468647003174, 6.1055378913879395, 3.331146001815796, 5.824471473693848, 4.9875664710998535, 4.427276611328125, 4.798209190368652, 4.903923511505127, 3.6632862091064453, 3.990018606185913, 1.3592405319213867, 7.383971214294434, 8.917441368103027]"
