fdc_id,branded_food_category,brand_owner,market_country,description,ingredients,serving_size,serving_size_num,serving_size_unit,Energy(kcal)_zero_thres,Carbohydrate(g)_zero_thres,Total fat(g)_zero_thres,Protein(g)_zero_thres,Sodium(mg)_zero_thres,Total sugar(g)_zero_thres,Saturated fatty acids(g)_zero_thres,Cholesterol(mg)_zero_thres,Calcium(mg)_zero_thres,Fiber(g)_zero_thres,Iron(mg)_zero_thres
1912173,"Chips, Pretzels & Snacks",Conn's Potato Chip Co.,United States,"MOTOWN MUNCHIES, HOT CORN CHIPS","CORN, VEGETABLE OIL (CONSISTING OF ONE OR MORE OF THE FOLLOWING: CORN, COTTONSEED, CANOLA, SUNFLOWER, OR SOYBEAN), WHEY, MALTODEXTRIN, SALT, SPICES, CHEESE POWDER [CHEDDAR CHEESE (CULTURED MILK, SALT ENZYMES), WHEY, BUTTERMILK, SALT, DISODIUM PHOSPHATE], SODIUM DIACETATE, MONOSODIUM GLUTAMATE, GARLIC POWDER, ONION POWDER, NATURAL FLAVORS, SUGAR, CITRIC ACID, LESS THAN 2% JALAPENO PEPPER POWDER, HABANERO PEPPER POWDER BLEND (DEHYDRATED CHILIS, SPICE), OLEORESIN PAPRIKA, RED 40 LAKE, SILICON DIOXIDE (ANTI-CAKING).",,,,,,,,,,,,,,
1903821,"Chips, Pretzels & Snacks","The Hain Celestial Group, Inc.",United States,"VEGETABLE AND POTATO SNACK, HONEY MUSTARD","VEGGIE STRAWS (POTATO FLOUR, POTATO STARCH, CORN STARCH, TOMATO PASTE, SPINACH POWDER, SALT, SUGAR, BEETROOT POWDER [COLOR], TURMERIC), CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, HONEY, DEHYDRATED GARLIC, DEHYDRATED ONION, MUSTARD, CITRIC ACID, NATURAL FLAVORS, SPICE, PAPRIKA.",,,,,,,,,,,,,,
1903833,"Chips, Pretzels & Snacks",Seron Foods,United States,"GOURMET TORTILLA CHIPS, THICK AND HEARTY TOASTED CORN","CORN, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA OIL, CORN OIL, COTTONSEED OIL, SAFFLOWER OIL, SOYBEAN OIL, SUNFLOWER OIL), SALT, TRACE OF LIME.",,,,,,,,,,,,,,
1903838,"Chips, Pretzels & Snacks",World Foods Products Inc.,United States,WASABI PEAS,"GREEN PEAS, GLUTINOUS RICE FLOUR, WHEAT FLOUR, SUGAR, STARCH, SOY BEAN OIL, SALT, WASABI, ARTIFICIAL COLORS (US FD&C YELLOW #5 AND BLUE #1), WASABI FLAVOR (WASABI OIL, CORN STARCH, FD&C YELLOW #5, FD&C BLUE #1).",,,,,,,,,,,,,,
1903837,"Chips, Pretzels & Snacks","Xochitl, Inc. ",United States,"KETTLE STYLE POTATO CHIPS, JALAPENO","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, SUNFLOWER, OR CANOLA OIL), SALT, MALTODEXTRIN, DEXTROSE, DEHYDRATED JALAPENO, ONION & GARLIC POWDER, TORULA YEAST, NATURAL AND ARTIFICIAL FLAVORS, CITRIC ACID, AND EXTRACTIVES OF PAPRIKA.",,,,,,,,,,,,,,
1903793,"Chips, Pretzels & Snacks","Easyawn, LLC",United States,"CORN CRISPS, SAVORY","NON GMO WHOLE GROUND CORN, DEGERMED CORN MEAL, CORN BRAN, SEA SALT, TURMERIC, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: SOYBEAN, SUNFLOWER, AND/OR CANOLA OIL).",,,,,,,,,,,,,,
1912261,"Chips, Pretzels & Snacks",Green Park Snacks Inc,United States,"ORGANIC CHICKPEA PUFFS, VEGAN WHITE CHEDDAR","ORGANIC CHICKPEA FLOUR, ORGANIC RICE FLOUR, ORGANIC SUNFLOWER OIL, ORGANIC TAPIOCA STARCH, ORGANIC SEASONING [DEGERMED CORN FLOUR*, SALT SUGAR*, ONION POWDER*, CITRIC ACID, GARLIC POWDER*, LACTIC ACID, CANOLA OIL*, NATURAL FLAVOR], ORGANIC PEA HULL FIBER.",,,,,,,,,,,,,,
1903809,"Chips, Pretzels & Snacks",VINTAGE ITALIA LLC ,United States,"PASTA CHIPS, MEDITERRANEAN SEA SALT","DURUM SEMOLINA, OLIVE OIL, CORN STARCH, CANOLA OIL, YEAST, SORBITAN MONOSTEARATE, ASCORBIC ACID, SEA SALT, SALT, PARSLEY FLAKES, SOY LECITHIN, LEAVENING (CALCIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE), BAKING SODA.",,,,,,,,,,,,,,
1903804,"Chips, Pretzels & Snacks",VINTAGE ITALIA LLC ,United States,"POTATO CHIPS, SPICY TOMATO HERB","DURUM SEMOLINA, OLIVE OIL, CORN STARCH, SEASONING (SALT, DEHYDRATED GARLIC, TOMATO POWDER, DEHYDRATED ONION, MONOSODIUM GLUTAMATE, MALTODEXTRIN, DEHYDRATED TOMATO, CORN STARCH, NATURAL FLAVORS, SUGAR, SPICES, CITRIC ACID, DEHYDRATED RED BELL PEPPER, PAPRIKA, SOYBEAN OIL (AS A PROCESSING AID), DEHYDRATED PARSLEY AND LESS THAN 2% SILICON DIOXIDE ADDED TO PREVENT CAKING), CANOLA OIL, YEAST, SORBITAN MONOSTEARATE, ASCORBIC ACID, SALT, PARSLEY FLAKES, SOY LECITHIN, LEAVENING (CALCIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE), BAKING SODA.",,,,,,,,,,,,,,
1903913,"Chips, Pretzels & Snacks",The Great Lakes Potato Chip Company LLC,United States,"KETTLE COOKED POTATO CHIP, SALT & VINEGAR","POTATOES, SUNFLOWER OIL, SEA SALT, MALTODEXTRIN, WHITE DISTILLED VINEGAR, MODIFIED CORN STARCH (WAXY MAIZE).",,,,,,,,,,,,,,
1903912,"Chips, Pretzels & Snacks",The Great Lakes Potato Chip Company LLC,United States,"KETTLE COOKED POTATO CHIP, BARBEQUE","POTATOES, SUNFLOWER AND/OR CANOLA OIL, SUGAR, SALT, PAPRIKA, SPICE, GARLIC POWDER, SMOKE FLAVOR (MALTODEXTRIN, NATURAL HICKORY SMOKE FLAVOR), LESS THAN 2% SILICON DIOXIDE ADDED TO PREVENT CAKING.",,,,,,,,,,,,,,
1903883,"Chips, Pretzels & Snacks","JH BIOTECH, INC.",United States,"ORGANIC TORTILLA CHIPS, WHITE CORN","ORGANIC WHITE CORN, ORGANIC SUNFLOWER OIL, SEA SALT, TRACE OF LIME.",,,,,,,,,,,,,,
1903876,"Chips, Pretzels & Snacks",CIBO VITA INC,United States,VEGETABLE CHIPS,"CARROTS, SQUASH, SWEET POTATO, TARO, GREEN BEANS, NON-HYDROGENATED CANOLA OIL, DEXTRIN, SALT.",,,,,,,,,,,,,,
1903882,"Chips, Pretzels & Snacks","JH BIOTECH, INC.",United States,"TORTILLA CHIPS, YELLOW CORN","ORGANIC WHOLE CORN, ORGANIC SUNFLOWER OIL, SEA SALT, TRACE OF LIME.",,,,,,,,,,,,,,
1903877,"Chips, Pretzels & Snacks",Sports Licensing Solutions LLC ,United States,"POPPED MULTIGRAIN CHIPS, OLD SCHOOL BBQ","POTATO FLAKES, POTATO STARCH, BROWN RICE FLOUR, SAFFLOWER AND/OR SUNFLOWER AND/OR CANOLA OIL, FLAXSEED MEAL, CHIA SEEDS, EVAPORATED CANE JUICE, BROWN SUGAR, SALT, TOMATO POWDER, YEAST EXTRACT, SPICE AND COLORING (PAPRIKA, ANNATO, TURMERIC), CITRIC ACID, ONION POWDER, NATURAL SMOKE FLAVOR, SPICES, GARLIC POWDER.",,,,,,,,,,,,,,
1912260,"Chips, Pretzels & Snacks",The Great Lakes Potato Chip Company LLC,United States,KETTLE COOKED BUFFALO WING POTATO CHIPS,"POTATOES, SUNFLOWER AND/OR CANOLA OIL, DEHYDRATED BLEND OF FRANK'S REDHOT CAYENNE PEPPER SAUCE (AGED CAYENNE RED PEPPERS, DISTILLED VINEGAR, SALT, GARLIC POWDER), MALTODEXTRIN, NATURAL FLAVOR AND SILICON DIOXIDE.",,,,,,,,,,,,,,
1903677,"Chips, Pretzels & Snacks",Sunrise Natural Foods,United States,"PEAS, WASABI","GREEN PEAS, CORN STARCH, WASABI FLAVOR, LIQUID SUGAR, PALM OIL, SEA SALT, ARTIFICIAL COLORS: FD&C YELLOW NO. 5 & BLUE NO. 1.",,,,,,,,,,,,,,
1903676,"Chips, Pretzels & Snacks",Sunrise Natural Foods,United States,UNSALTED VEGGIE SNAX,"SWEET POTATO, SQUASH, TARO, CARROT, GREEN BEAN, PURPLE SWEET POTATO, NON-HYDROGENATED CANOLA OIL, DEXTRIN.",,,,,,,,,,,,,,
1903733,"Chips, Pretzels & Snacks","JH BIOTECH, INC.",United States,"ORGANIC PRETZEL STICKS, OAT BRAN","ORGANIC WHEAT FLOUR, ORGANIC OAT BRAN FLOUR, ORGANIC SUGAR, ORGANIC SUNFLOWER OIL, SALT AND SODA.",,,,,,,,,,,,,,
